game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,standard,player1,random,modern_mono_red_burn,5,1.49,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
2,standard,player1,random,modern_mono_red_burn,6,0.09,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
3,standard,player1,random,modern_mono_red_burn,4,0.34,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
4,standard,player1,random,modern_mono_red_burn,7,0.1,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
5,standard,player1,random,modern_mono_red_burn,7,1.17,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
6,standard,player1,random,modern_mono_red_burn,6,1.06,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
7,standard,player1,random,modern_mono_red_burn,7,1.1,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
8,standard,player1,random,modern_mono_red_burn,6,0.82,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
9,standard,player1,heuristic,modern_mono_red_burn,10,0.19,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
10,standard,player1,heuristic,modern_mono_red_burn,5,0.07,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
11,standard,player1,heuristic,modern_mono_red_burn,9,0.13,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
12,standard,player1,heuristic,modern_mono_red_burn,8,0.15,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
13,standard,player1,heuristic,modern_mono_red_burn,5,0.87,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
14,standard,player1,heuristic,modern_mono_red_burn,13,1.74,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
15,standard,player1,heuristic,modern_mono_red_burn,7,0.98,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
16,standard,player1,heuristic,modern_mono_red_burn,4,0.62,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
17,standard,player1,world_model,modern_mono_red_burn,8,1.09,"{""player1"": ""world_model"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
18,standard,player1,world_model,modern_mono_red_burn,9,1.22,"{""player1"": ""world_model"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
19,standard,player2,random,modern_azorius_control,10,1.45,"{""player1"": ""world_model"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
20,standard,player1,world_model,modern_mono_red_burn,7,0.96,"{""player1"": ""world_model"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
21,standard,player1,world_model,modern_mono_red_burn,7,0.83,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
22,standard,player1,world_model,modern_mono_red_burn,11,4.1,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
23,standard,player2,heuristic,modern_azorius_control,7,3.97,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
24,standard,player1,world_model,modern_mono_red_burn,12,1.35,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
