game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,standard,player1,random,modern_mono_red_burn,4,1.39,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
2,standard,player2,heuristic,modern_mono_red_burn,8,0.38,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
3,standard,player1,random,modern_mono_red_burn,5,0.09,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
4,standard,player1,random,modern_mono_red_burn,6,0.1,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
5,standard,player2,heuristic,modern_mono_red_burn,6,0.1,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
6,standard,player1,random,modern_mono_red_burn,5,0.09,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
7,standard,player1,random,modern_mono_red_burn,5,0.08,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
8,standard,player1,random,modern_mono_red_burn,6,0.09,"{""player1"": ""random"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
9,standard,player1,random,modern_mono_red_burn,7,1.0,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
10,standard,player1,random,modern_mono_red_burn,10,1.39,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
11,standard,player2,world_model,modern_mono_red_burn,10,1.88,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
12,standard,player1,random,modern_mono_red_burn,10,1.54,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
13,standard,player1,random,modern_mono_red_burn,4,0.58,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
14,standard,player1,random,modern_mono_red_burn,5,0.71,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
15,standard,player1,random,modern_mono_red_burn,6,0.87,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
16,standard,player1,random,modern_mono_red_burn,8,0.96,"{""player1"": ""random"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
17,standard,player2,random,modern_mono_red_burn,8,0.15,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
18,standard,player2,random,modern_mono_red_burn,4,0.08,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
19,standard,player1,heuristic,modern_mono_red_burn,5,0.08,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
20,standard,player1,heuristic,modern_mono_red_burn,7,0.11,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
21,standard,player1,heuristic,modern_mono_red_burn,5,0.07,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
22,standard,player1,heuristic,modern_mono_red_burn,5,0.33,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
23,standard,player2,random,modern_mono_red_burn,6,0.09,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
24,standard,player1,heuristic,modern_mono_red_burn,6,0.36,"{""player1"": ""heuristic"", ""player2"": ""random""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
25,standard,player1,heuristic,modern_mono_red_burn,5,0.84,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
26,standard,player2,world_model,modern_mono_red_burn,6,1.09,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
27,standard,player2,world_model,modern_mono_red_burn,5,0.76,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
28,standard,player1,heuristic,modern_mono_red_burn,6,0.84,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
29,standard,player2,world_model,modern_mono_red_burn,8,1.03,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_mono_red_burn""}",
