game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,standard,player1,kg_heuristic,modern_mono_red_burn,7,1.24,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
2,standard,player1,kg_heuristic,modern_mono_red_burn,6,0.14,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
3,standard,player1,kg_heuristic,modern_mono_red_burn,5,0.1,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
4,standard,player1,kg_heuristic,modern_mono_red_burn,9,0.74,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
5,standard,player1,kg_heuristic,modern_mono_red_burn,5,0.36,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
6,standard,player1,kg_heuristic,modern_mono_red_burn,4,0.08,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
7,standard,player1,kg_heuristic,modern_mono_red_burn,6,0.11,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
8,standard,player1,kg_heuristic,modern_mono_red_burn,6,0.1,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
9,standard,player1,heuristic,modern_mono_red_burn,10,0.42,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
10,standard,player2,kg_heuristic,modern_azorius_control,11,0.61,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
11,standard,player1,heuristic,modern_mono_red_burn,5,0.38,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
12,standard,player1,heuristic,modern_mono_red_burn,4,0.07,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
13,standard,player1,heuristic,modern_mono_red_burn,6,0.1,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
14,standard,player1,heuristic,modern_mono_red_burn,6,0.1,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
15,standard,player1,heuristic,modern_mono_red_burn,6,0.12,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
16,standard,player1,heuristic,modern_mono_red_burn,6,0.41,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
