game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,standard,player1,llm_fusion,modern_mono_red_burn,10,245.08,"{""player1"": ""llm_fusion"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
2,standard,player2,heuristic,modern_azorius_control,12,230.25,"{""player1"": ""llm_fusion"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
3,standard,player1,llm_fusion,modern_mono_red_burn,5,29.29,"{""player1"": ""llm_fusion"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
4,standard,player2,heuristic,modern_azorius_control,11,135.57,"{""player1"": ""llm_fusion"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
5,standard,player1,llm_fusion,modern_mono_red_burn,19,308.8,"{""player1"": ""llm_fusion"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
6,standard,player1,llm_fusion,modern_mono_red_burn,5,100.97,"{""player1"": ""llm_fusion"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
7,standard,player2,heuristic,modern_azorius_control,12,163.6,"{""player1"": ""llm_fusion"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
8,standard,player1,llm_fusion,modern_mono_red_burn,5,95.44,"{""player1"": ""llm_fusion"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
9,standard,player1,heuristic,modern_mono_red_burn,6,152.36,"{""player1"": ""heuristic"", ""player2"": ""llm_fusion""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
10,standard,player1,heuristic,modern_mono_red_burn,6,185.06,"{""player1"": ""heuristic"", ""player2"": ""llm_fusion""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
11,standard,player1,heuristic,modern_mono_red_burn,4,25.0,"{""player1"": ""heuristic"", ""player2"": ""llm_fusion""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
12,standard,player1,heuristic,modern_mono_red_burn,5,22.74,"{""player1"": ""heuristic"", ""player2"": ""llm_fusion""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
13,standard,player1,heuristic,modern_mono_red_burn,6,35.28,"{""player1"": ""heuristic"", ""player2"": ""llm_fusion""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
14,standard,player1,heuristic,modern_mono_red_burn,8,52.09,"{""player1"": ""heuristic"", ""player2"": ""llm_fusion""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
15,standard,player1,heuristic,modern_mono_red_burn,6,20.96,"{""player1"": ""heuristic"", ""player2"": ""llm_fusion""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
16,standard,player1,heuristic,modern_mono_red_burn,5,28.8,"{""player1"": ""heuristic"", ""player2"": ""llm_fusion""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
