round,game,agent_a,agent_b,winner_agent,turns,elapsed_sec,log_path,error
1,1,llm_fusion,active_inference,llm_fusion,14,235.25,runs\overnight_20260428_222447\tournament_swiss\logs\game_0001.log,
1,2,heuristic,random,heuristic,5,0.09,runs\overnight_20260428_222447\tournament_swiss\logs\game_0002.log,
1,3,llm,world_model,llm,1,0.54,runs\overnight_20260428_222447\tournament_swiss\logs\game_0003.log,
2,4,heuristic,llm,heuristic,1,0.01,runs\overnight_20260428_222447\tournament_swiss\logs\game_0004.log,
2,5,llm_fusion,world_model,llm_fusion,1,5.08,runs\overnight_20260428_222447\tournament_swiss\logs\game_0005.log,
2,6,active_inference,kg_heuristic,active_inference,10,0.23,runs\overnight_20260428_222447\tournament_swiss\logs\game_0006.log,
3,7,heuristic,llm_fusion,heuristic,7,155.45,runs\overnight_20260428_222447\tournament_swiss\logs\game_0007.log,
3,8,llm,active_inference,active_inference,1,0.02,runs\overnight_20260428_222447\tournament_swiss\logs\game_0008.log,
3,9,random,world_model,random,1,0.01,runs\overnight_20260428_222447\tournament_swiss\logs\game_0009.log,
4,10,heuristic,active_inference,heuristic,10,2.0,runs\overnight_20260428_222447\tournament_swiss\logs\game_0010.log,
4,11,llm_fusion,random,llm_fusion,5,125.5,runs\overnight_20260428_222447\tournament_swiss\logs\game_0011.log,
4,12,llm,kg_heuristic,kg_heuristic,1,0.02,runs\overnight_20260428_222447\tournament_swiss\logs\game_0012.log,
5,13,heuristic,kg_heuristic,heuristic,5,0.09,runs\overnight_20260428_222447\tournament_swiss\logs\game_0013.log,
5,14,llm_fusion,llm,llm_fusion,1,4.25,runs\overnight_20260428_222447\tournament_swiss\logs\game_0014.log,
5,15,active_inference,random,active_inference,4,0.1,runs\overnight_20260428_222447\tournament_swiss\logs\game_0015.log,
6,16,heuristic,world_model,heuristic,1,0.04,runs\overnight_20260428_222447\tournament_swiss\logs\game_0016.log,
6,17,llm_fusion,kg_heuristic,kg_heuristic,13,218.25,runs\overnight_20260428_222447\tournament_swiss\logs\game_0017.log,
6,18,active_inference,random,active_inference,5,0.12,runs\overnight_20260428_222447\tournament_swiss\logs\game_0018.log,
