game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,standard,player2,heuristic,modern_azorius_control,1,0.54,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
2,standard,player2,heuristic,modern_azorius_control,1,0.01,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
3,standard,player2,heuristic,modern_azorius_control,1,0.07,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
4,standard,player2,heuristic,modern_azorius_control,1,0.07,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
5,standard,player2,heuristic,modern_azorius_control,1,0.02,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
6,standard,player2,heuristic,modern_azorius_control,1,0.01,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
7,standard,player2,heuristic,modern_azorius_control,1,0.02,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
8,standard,player2,heuristic,modern_azorius_control,1,0.01,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
9,standard,player1,heuristic,modern_mono_red_burn,1,0.04,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
10,standard,player1,heuristic,modern_mono_red_burn,1,0.03,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
11,standard,player1,heuristic,modern_mono_red_burn,1,0.03,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
12,standard,player1,heuristic,modern_mono_red_burn,1,0.07,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
13,standard,player1,heuristic,modern_mono_red_burn,1,0.02,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
14,standard,player1,heuristic,modern_mono_red_burn,1,0.02,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
15,standard,player1,heuristic,modern_mono_red_burn,1,0.01,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
16,standard,player1,heuristic,modern_mono_red_burn,1,0.02,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
