game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,standard,player1,llm,modern_mono_red_burn,6,1.35,"{""player1"": ""llm"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
2,standard,player1,llm,modern_mono_red_burn,4,0.29,"{""player1"": ""llm"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
3,standard,player1,llm,modern_mono_red_burn,4,0.23,"{""player1"": ""llm"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
4,standard,player1,llm,modern_mono_red_burn,8,3.36,"{""player1"": ""llm"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
5,standard,player1,llm,modern_mono_red_burn,5,1.7,"{""player1"": ""llm"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
6,standard,player1,llm,modern_mono_red_burn,5,0.34,"{""player1"": ""llm"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
7,standard,player1,llm,modern_mono_red_burn,5,0.32,"{""player1"": ""llm"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
8,standard,player1,llm,modern_mono_red_burn,4,0.25,"{""player1"": ""llm"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
9,standard,player1,heuristic,modern_mono_red_burn,8,2.89,"{""player1"": ""heuristic"", ""player2"": ""llm""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
10,standard,player2,llm,modern_azorius_control,9,1.5,"{""player1"": ""heuristic"", ""player2"": ""llm""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
11,standard,player1,heuristic,modern_mono_red_burn,7,1.5,"{""player1"": ""heuristic"", ""player2"": ""llm""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
12,standard,player1,heuristic,modern_mono_red_burn,5,0.25,"{""player1"": ""heuristic"", ""player2"": ""llm""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
13,standard,player1,heuristic,modern_mono_red_burn,7,0.35,"{""player1"": ""heuristic"", ""player2"": ""llm""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
14,standard,player1,heuristic,modern_mono_red_burn,5,0.26,"{""player1"": ""heuristic"", ""player2"": ""llm""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
15,standard,player1,heuristic,modern_mono_red_burn,6,0.35,"{""player1"": ""heuristic"", ""player2"": ""llm""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
16,standard,player1,heuristic,modern_mono_red_burn,6,1.41,"{""player1"": ""heuristic"", ""player2"": ""llm""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
