game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,standard,player1,world_model,modern_mono_red_burn,8,1.41,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
2,standard,player1,world_model,modern_mono_red_burn,7,1.29,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
3,standard,player1,world_model,modern_mono_red_burn,9,0.96,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
4,standard,player1,world_model,modern_mono_red_burn,14,14.53,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
5,standard,player1,world_model,modern_mono_red_burn,5,4.65,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
6,standard,player1,world_model,modern_mono_red_burn,6,1.66,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
7,standard,player1,world_model,modern_mono_red_burn,9,1.74,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
8,standard,player1,world_model,modern_mono_red_burn,4,0.63,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
9,standard,player1,heuristic,modern_mono_red_burn,6,1.06,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
10,standard,player1,heuristic,modern_mono_red_burn,11,1.79,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
11,standard,player1,heuristic,modern_mono_red_burn,6,0.93,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
12,standard,player1,heuristic,modern_mono_red_burn,5,0.85,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
13,standard,player1,heuristic,modern_mono_red_burn,6,1.11,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
14,standard,player1,heuristic,modern_mono_red_burn,5,0.93,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
15,standard,player1,heuristic,modern_mono_red_burn,6,0.94,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
16,standard,player1,heuristic,modern_mono_red_burn,6,1.01,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
