epoch,train/total,train/prediction,train/kl
0,0.926416172366678,0.9256885440216788,0.007276284650300989
1,0.9783608645806045,0.9782874672347044,0.0003669855710862556
2,0.9878862129529671,0.9878649828794153,7.076744758735052e-05
3,0.9931628119847162,0.9931519948340946,2.704237095949718e-05
4,0.994988901743394,0.9949815178373359,1.4767379826052993e-05
5,0.9968654755296045,0.9968601444937698,8.884498845299358e-06
6,0.9982762463799888,0.9982723519229693,5.563277566775334e-06
7,0.9985169451204946,0.9985141384435131,3.508369908888296e-06
8,0.999438935638382,0.9994368788241508,2.2855089813788866e-06
9,0.9995750705710066,0.9995735791922372,1.4910666998097468e-06
10,0.9996797514411996,0.9996786904700102,1.0614363332989858e-06
11,0.9993958496283214,0.9993951067739878,7.432116798066981e-07
12,0.9999711796078595,0.9999706711855362,5.086529742830597e-07
13,0.9996138725610658,0.9996135430377993,3.293519317973742e-07
14,0.9997421063598623,0.9997419021747029,2.0235134086207204e-07
15,0.999763856763425,0.9997637372089166,1.1726734085083576e-07
16,1.0000732396565253,1.0000731733130184,6.497824081033232e-08
