game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,standard,player1,heuristic,modern_mono_red_burn,8,1.29,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
2,standard,player1,heuristic,modern_mono_red_burn,7,0.1,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
3,standard,player1,heuristic,modern_mono_red_burn,10,0.15,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
4,standard,player1,heuristic,modern_mono_red_burn,8,0.1,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
5,standard,player1,heuristic,modern_mono_red_burn,4,0.06,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
6,standard,player1,heuristic,modern_mono_red_burn,6,0.37,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
7,standard,player1,heuristic,modern_mono_red_burn,6,0.64,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
8,standard,player1,heuristic,modern_mono_red_burn,10,1.21,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
9,standard,player1,heuristic,modern_mono_red_burn,7,0.79,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
10,standard,player1,heuristic,modern_mono_red_burn,7,0.74,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
11,standard,player1,heuristic,modern_mono_red_burn,9,1.03,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
12,standard,player1,heuristic,modern_mono_red_burn,8,1.06,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
13,standard,player1,heuristic,modern_mono_red_burn,9,0.22,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
14,standard,player1,heuristic,modern_mono_red_burn,6,0.11,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
15,standard,player1,heuristic,modern_mono_red_burn,12,0.25,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
16,standard,player1,heuristic,modern_mono_red_burn,13,0.89,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
17,standard,player1,heuristic,modern_mono_red_burn,8,0.13,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
18,standard,player1,heuristic,modern_mono_red_burn,6,0.1,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
